,title,number_of_pages,number_of_downloads,book_url
43,Access 2003 Personal Trainer (Personal Trainer (O'Reilly)),"1,728",620,https://www.pdfdrive.com/access-2003-personal-trainer-personal-trainer-oreilly-e157593584.html
44,Learning JavaScript Design Patterns,246,"10,621",https://www.pdfdrive.com/learning-javascript-design-patterns-e39889791.html
45,"Tim O'Reilly in a Nutshell: Collected Writings of the Founder of O'Reilly Media, Inc.",129,175,https://www.pdfdrive.com/tim-oreilly-in-a-nutshell-collected-writings-of-the-founder-of-oreilly-media-inc-e156984178.html
46,"HTML & XHTML Pocket Reference: Quick, Comprehensive, Indispensible (Pocket Reference (O'Reilly))",192,594,https://www.pdfdrive.com/html-xhtml-pocket-reference-quick-comprehensive-indispensible-pocket-reference-oreilly-e158984309.html
47,Learning OpenCV 3,"1,018","4,648",https://www.pdfdrive.com/learning-opencv-3-e42358217.html
48,Killing Lincoln: The Shocking Assassination That Changed America Forever,294,"2,796",https://www.pdfdrive.com/killing-lincoln-the-shocking-assassination-that-changed-america-forever-e190164899.html
49,O'Reilly Linux Kernel in a Nutshell,198,573,https://www.pdfdrive.com/oreilly-linux-kernel-in-a-nutshell-e89457873.html
50,Bill O'Reilly's Legends and Lies,346,572,https://www.pdfdrive.com/bill-oreillys-legends-and-lies-e196374963.html
51,O'Reilly - Python for Unix and Linux System Administration.pdf,458,629,https://www.pdfdrive.com/oreilly-python-for-unix-and-linux-system-administrationpdf-e39893912.html
52,O'Reilly - Oracle PL SQL Programming.pdf,984,896,https://www.pdfdrive.com/oreilly-oracle-pl-sql-programmingpdf-e15302570.html
53,O'Reilly - Java - Servlet Programming.pdf,421,831,https://www.pdfdrive.com/oreilly-java-servlet-programmingpdf-e27240405.html
54,Python for Data Analysis,470,"80,219",https://www.pdfdrive.com/python-for-data-analysis-e18892431.html
55,O'Reilly - Programming Embedded Systems in C and C++,122,537,https://www.pdfdrive.com/oreilly-programming-embedded-systems-in-c-and-c-e33091904.html
56,Learning SQL,338,"7,568",https://www.pdfdrive.com/learning-sql-e21145337.html
57,Learning TensorFlow,242,"3,912",https://www.pdfdrive.com/learning-tensorflow-e50542974.html
58,O'Reilly - sed & awk.. - Inwebo|FTP - Free,570,"1,093",https://www.pdfdrive.com/oreilly-sed-awk-inweboftp-free-e10341302.html
59,Изучаем программирование на Python,611,"71,156",https://www.pdfdrive.com/Изучаем-программирование-на-python-e184785742.html
60,Java O'reilly Books,"5,964","1,130",https://www.pdfdrive.com/java-oreilly-books-e8015619.html
61,Introduction to HTML and CSS - O'Reilly Media,126,539,https://www.pdfdrive.com/introduction-to-html-and-css-oreilly-media-e17708231.html
62,O'Reilly Writing Excel Macros with VBA,490,527,https://www.pdfdrive.com/oreilly-writing-excel-macros-with-vba-e54959564.html
63,Doing Data Science,405,"3,789",https://www.pdfdrive.com/doing-data-science-e33430325.html
64,Java Message Service (O'Reilly Java Series),348,505,https://www.pdfdrive.com/java-message-service-oreilly-java-series-e193149118.html
65,Oracle PL/SQL Programming,"1,300","6,806",https://www.pdfdrive.com/oracle-plsql-programming-e26742458.html
66,O'Reilly - Perl Cookbook.pdf - Directory UMM,"1,096","1,267",https://www.pdfdrive.com/oreilly-perl-cookbookpdf-directory-umm-e11621250.html
67,O'Reilly - MySQL Cookbook.pdf - Index of,"1,005",586,https://www.pdfdrive.com/oreilly-mysql-cookbookpdf-index-of-e15487356.html
68,Grep Pocket Reference (Pocket Reference (O'Reilly)),79,580,https://www.pdfdrive.com/grep-pocket-reference-pocket-reference-oreilly-e158771684.html
69,Masterminds of Programming: Conversations with the Creators of Major Programming Languages (Theory in Practice (O'Reilly)),496,458,https://www.pdfdrive.com/masterminds-of-programming-conversations-with-the-creators-of-major-programming-languages-theory-in-practice-oreilly-e185727025.html
70,JavaScript Cookbook,554,"5,873",https://www.pdfdrive.com/javascript-cookbook-e33450617.html
71,O'Reilly Writing Excel Macros with VBA,490,470,https://www.pdfdrive.com/oreilly-writing-excel-macros-with-vba-e49916000.html
72,O'Reilly - C++ Cookbook,640,"1,943",https://www.pdfdrive.com/oreilly-c-cookbook-e9957912.html
73,WTF?: What’s the Future and Why It’s Up to Us,399,"1,156",https://www.pdfdrive.com/wtf-whats-the-future-and-why-its-up-to-us-e199773302.html
74,Learning Spark,371,"5,501",https://www.pdfdrive.com/learning-spark-e53480031.html
75,NGINX Cookbook,181,"5,488",https://www.pdfdrive.com/nginx-cookbook-e57919876.html
76,O'Reilly - Network Warrior.pdf,599,431,https://www.pdfdrive.com/oreilly-network-warriorpdf-e45919582.html
77,"Head First Servlets and JSP, 2nd Edition",883,"5,349",https://www.pdfdrive.com/head-first-servlets-and-jsp-2nd-edition-e58932829.html
78,Perl 3: Advanced Perl - O'Reilly Media,205,502,https://www.pdfdrive.com/perl-3-advanced-perl-oreilly-media-e17625141.html
79,Killing Jesus Christ: Bill O'Reilly,830,428,https://www.pdfdrive.com/killing-jesus-christ-bill-oreilly-e199753380.html
80,Illustrated Guide to Home Biology Experiments,377,"5,201",https://www.pdfdrive.com/illustrated-guide-to-home-biology-experiments-e33419818.html
81,O'Reilly : Practical RDF,445,421,https://www.pdfdrive.com/oreilly-practical-rdf-e126819267.html
82,97 Things every Project Manager should Know; Collective Wisdom from the Experts - O'Reilly,217,410,https://www.pdfdrive.com/97-things-every-project-manager-should-know-collective-wisdom-from-the-experts-oreilly-e185359133.html
83,Is Python a - 7Chan,"1,214","4,954",https://www.pdfdrive.com/is-python-a-7chan-e15308284.html
84,O'Reilly - Postfix The Definitive Guide.pdf,394,"1,033",https://www.pdfdrive.com/oreilly-postfix-the-definitive-guidepdf-e7428260.html
85,Java Performance Tuning (O'Reilly).pdf,318,"1,578",https://www.pdfdrive.com/java-performance-tuning-oreillypdf-e7418096.html
86,LPI Linux Certification in a Nutshell (In a Nutshell (O'Reilly)),522,393,https://www.pdfdrive.com/lpi-linux-certification-in-a-nutshell-in-a-nutshell-oreilly-e156653274.html
87,A Bibliography of O'Reilly & Associates and O'Reilly Media.,402,13,https://www.pdfdrive.com/a-bibliography-of-oreilly-associates-and-oreilly-media-e5750555.html
88,A Bibliography of O'Reilly & Associates and O'Reilly Media. Inc. Publishers,428,12,https://www.pdfdrive.com/a-bibliography-of-oreilly-associates-and-oreilly-media-inc-publishers-e19566508.html
89,JSP - Java Server Pages 2nd Edition - O'Reilly,618,388,https://www.pdfdrive.com/jsp-java-server-pages-2nd-edition-oreilly-e58285557.html
90,A Bibliography of O'Reilly & Associates and O'Reilly Media. Inc. Publishers,430,3,https://www.pdfdrive.com/a-bibliography-of-oreilly-associates-and-oreilly-media-inc-publishers-e46279106.html
91,A Bibliography of O'Reilly & Associates and O'Reilly Media. Inc. Publishers,403,2,https://www.pdfdrive.com/a-bibliography-of-oreilly-associates-and-oreilly-media-inc-publishers-e47199505.html
92,Ryan Mitchell-Web Scraping with Python_ Collecting Data from the Modern Web-O'Reilly Media,255,380,https://www.pdfdrive.com/ryan-mitchell-web-scraping-with-python_-collecting-data-from-the-modern-web-oreilly-media-e33476560.html
93,Google AdWords - cdn.oreilly.com - O'Reilly Media,220,628,https://www.pdfdrive.com/google-adwords-cdnoreillycom-oreilly-media-e15940907.html
94,Head First Software Development,477,"4,267",https://www.pdfdrive.com/head-first-software-development-e31483516.html
95,Yves Hilpisch-Python for Finance_ Analyze Big Financial Data-O'Reilly Media,605,665,https://www.pdfdrive.com/yves-hilpisch-python-for-finance_-analyze-big-financial-data-oreilly-media-e38601458.html
96,Head First PMP,675,"2,067",https://www.pdfdrive.com/head-first-pmp-e58138683.html
97,O'Reilly 802.11 Wireles Networks The Definitive..,335,382,https://www.pdfdrive.com/oreilly-80211-wireles-networks-the-definitive-e39940972.html
98,Learning Responsive Web Design,412,"4,034",https://www.pdfdrive.com/learning-responsive-web-design-e40104946.html
99,Head First Android Development,532,"26,828",https://www.pdfdrive.com/head-first-android-development-e31372804.html
100,O'Reilly - Cisco IOS Access Lists,227,376,https://www.pdfdrive.com/oreilly-cisco-ios-access-lists-e9513530.html
101,O'Reilly - JAVA in a Nutshell.pdf - DBLab,945,527,https://www.pdfdrive.com/oreilly-java-in-a-nutshellpdf-dblab-e9083653.html
102,O'Reilly - Google Hacks.pdf - preterhuman.net,354,363,https://www.pdfdrive.com/oreilly-google-hackspdf-preterhumannet-e35998875.html
103,Managing Kubernetes,187,"3,772",https://www.pdfdrive.com/managing-kubernetes-e146560093.html
104,Practical Machine Learning with H2O,374,"3,754",https://www.pdfdrive.com/practical-machine-learning-with-h2o-e33618534.html
105,"[O`Reilly] - JavaScript. The Definitive Guide, 6th ed. - [Flanagan].pdf","1,098","23,523",https://www.pdfdrive.com/oreilly-javascript-the-definitive-guide-6th-ed-flanaganpdf-e36736048.html
106,Python Data Science Handbook,548,"3,736",https://www.pdfdrive.com/python-data-science-handbook-e58383166.html
107,Head First Object-Oriented Analysis & Design,636,"23,191",https://www.pdfdrive.com/head-first-object-oriented-analysis-design-e58232679.html
108,Delphi in a Nutshell (In a Nutshell (O'Reilly)),573,313,https://www.pdfdrive.com/delphi-in-a-nutshell-in-a-nutshell-oreilly-e161585026.html
109,Java 8 Pocket Guide,241,"3,640",https://www.pdfdrive.com/java-8-pocket-guide-e33432842.html
110,Java Security (Java Series (O'Reilly & Associates).),971,308,https://www.pdfdrive.com/java-security-java-series-oreilly-associates-e190145313.html
111,OReilly DNS and BIND 5th Edition.pdf,755,"3,570",https://www.pdfdrive.com/oreilly-dns-and-bind-5th-editionpdf-e31217895.html
112,O'Reilly Designing Web Navigation.pdf,413,389,https://www.pdfdrive.com/oreilly-designing-web-navigationpdf-e34416825.html
113,"Creating Cool Web Sites with HTML, XHTML, and CSS",432,"21,266",https://www.pdfdrive.com/creating-cool-web-sites-with-html-xhtml-and-css-e33687378.html
114,R for Data Science,520,"21,242",https://www.pdfdrive.com/r-for-data-science-e45219638.html
115,Hadoop: The Definitive Guide,628,"20,205",https://www.pdfdrive.com/hadoop-the-definitive-guide-e19807373.html
116,Data Structures and Algorithms with JavaScript,246,"20,033",https://www.pdfdrive.com/data-structures-and-algorithms-with-javascript-e18719740.html
117,O'Reilly sed & awk (2nd Edition).pdf,570,291,https://www.pdfdrive.com/oreilly-sed-awk-2nd-editionpdf-e40659510.html
118,Illustrated Guide to Home Forensic Science Experiments,450,"19,384",https://www.pdfdrive.com/illustrated-guide-to-home-forensic-science-experiments-e5917255.html
119,"Python Pocket Reference, 5th Edition: Python in Your Pocket",264,"19,366",https://www.pdfdrive.com/python-pocket-reference-5th-edition-python-in-your-pocket-e166623626.html
120,Fluent Python,751,"19,011",https://www.pdfdrive.com/fluent-python-e26864246.html
121,O'Reilly - Practical C++ Programming.pdf - EduUnix,549,737,https://www.pdfdrive.com/oreilly-practical-c-programmingpdf-eduunix-e11213059.html
122,"Learning Python, 5th Edition","1,594","18,638",https://www.pdfdrive.com/learning-python-5th-edition-e39205692.html
123,Java Performance: The Definitive Guide,425,"3,232",https://www.pdfdrive.com/java-performance-the-definitive-guide-e41684793.html
124,Beautiful Code: Leading Programmers Explain How They Think (Theory in Practice (O'Reilly)),619,273,https://www.pdfdrive.com/beautiful-code-leading-programmers-explain-how-they-think-theory-in-practice-oreilly-e184325002.html
125,Liza M. Walsh Tricia B. O'Reilly Marc D. Haefner Katherine Romano Katelyn O'Reilly WALSH PIZZI ...,84,2,https://www.pdfdrive.com/liza-m-walsh-tricia-b-oreilly-marc-d-haefner-katherine-romano-katelyn-oreilly-walsh-pizzi-e58098034.html
126,What Is the Blockchain?,149,"17,142",https://www.pdfdrive.com/what-is-the-blockchain-e27565198.html
127,bash Cookbook: Solutions and Examples for bash Users (O'Reilly Cookbooks),624,264,https://www.pdfdrive.com/bash-cookbook-solutions-and-examples-for-bash-users-oreilly-cookbooks-e185010582.html
128,O'Reilly - Programming Web Services with Soap.pdf,225,506,https://www.pdfdrive.com/oreilly-programming-web-services-with-soappdf-e14293519.html
129,O'Reilly Java Programming with Oracle JDBC.pdf,389,592,https://www.pdfdrive.com/oreilly-java-programming-with-oracle-jdbcpdf-e15019932.html
130,O'Reilly - Android Application Development - skityaev.ru,336,379,https://www.pdfdrive.com/oreilly-android-application-development-skityaevru-e9080519.html
131,How Great Companies Achieve Extraordinary Results with Ordinary People Charles A. O'Reilly III ...,296,332,https://www.pdfdrive.com/how-great-companies-achieve-extraordinary-results-with-ordinary-people-charles-a-oreilly-iii-e33671892.html
132,C# 6.0 in a Nutshell,"1,133","3,037",https://www.pdfdrive.com/c-60-in-a-nutshell-e39705873.html
133,O'Reilly Virtual Private Networks (2nd Edition).,181,257,https://www.pdfdrive.com/oreilly-virtual-private-networks-2nd-edition-e40619585.html
134,Java 8 Lambdas,182,"3,012",https://www.pdfdrive.com/java-8-lambdas-e18730330.html
135,Raspberry Pi Cookbook,410,"15,530",https://www.pdfdrive.com/raspberry-pi-cookbook-e18824457.html
136,O'Reilly Learning Unix for Mac OS X,158,246,https://www.pdfdrive.com/oreilly-learning-unix-for-mac-os-x-e86672615.html
137,Effective Computation in Physics,552,"2,935",https://www.pdfdrive.com/effective-computation-in-physics-e34723574.html
138,james/books/OReilly C Sharp 5.0 Pocket Reference.pdf,224,"1,812",https://www.pdfdrive.com/jamesbooksoreilly-c-sharp-50-pocket-referencepdf-e51473100.html
139,Java Network Programming,762,"2,922",https://www.pdfdrive.com/java-network-programming-e27061163.html
140,O'Reilly Programming WPF (2nd Edition).pdf,867,257,https://www.pdfdrive.com/oreilly-programming-wpf-2nd-editionpdf-e39657583.html
141,The Art of Lean Software Development - O'Reilly,144,237,https://www.pdfdrive.com/the-art-of-lean-software-development-oreilly-e176004830.html
142,EXCEL HACKS,411,"14,618",https://www.pdfdrive.com/excel-hacks-e18892622.html
143,O'Reilly Linux Networking Cookbook.pdf,640,267,https://www.pdfdrive.com/oreilly-linux-networking-cookbookpdf-e37049998.html
144,Regular Expressions Cookbook O'Reilly,512,233,https://www.pdfdrive.com/regular-expressions-cookbook-oreilly-e156453109.html
145,Bind9 by O'reilly,620,286,https://www.pdfdrive.com/bind9-by-oreilly-e38843861.html
146,iOS Swift Game Development Cookbook,405,"2,863",https://www.pdfdrive.com/ios-swift-game-development-cookbook-e34377095.html
147,Python Cookbook: Recipes for Mastering Python 3,706,"14,215",https://www.pdfdrive.com/python-cookbook-recipes-for-mastering-python-3-e187326224.html
148,"The Wild Flower Key: how to identify wild flowers, trees and shrubs in Britain and Ireland",580,"14,039",https://www.pdfdrive.com/the-wild-flower-key-how-to-identify-wild-flowers-trees-and-shrubs-in-britain-and-ireland-e176228333.html
149,Mastering Bitcoin (O'Reilly 2nd edition 2017),405,228,https://www.pdfdrive.com/mastering-bitcoin-oreilly-2nd-edition-2017-e158110653.html
150,O'Reilly - DNS & BIND Cookbook,192,417,https://www.pdfdrive.com/oreilly-dns-bind-cookbook-e6161049.html
151,O'Reilly - Learning Java.pdf - MIT AITI,565,324,https://www.pdfdrive.com/oreilly-learning-javapdf-mit-aiti-e7579070.html
152,O'Reilly - Learning PHP 5.pdf,558,278,https://www.pdfdrive.com/oreilly-learning-php-5pdf-e38467206.html
153,Java in a Nutshell: A Desktop Quick Reference (In a Nutshell (O'Reilly)),"5,964",213,https://www.pdfdrive.com/java-in-a-nutshell-a-desktop-quick-reference-in-a-nutshell-oreilly-e158762605.html
154,Python 3: The Python Environment - O'Reilly Media,157,217,https://www.pdfdrive.com/python-3-the-python-environment-oreilly-media-e17459907.html
155,O'Reilly Dynamic HTML The Definitive Reference.pdf,"1,088",216,https://www.pdfdrive.com/oreilly-dynamic-html-the-definitive-referencepdf-e40481524.html
156,O'Reilly - Network Security Assessment 2nd Edit..,506,207,https://www.pdfdrive.com/oreilly-network-security-assessment-2nd-edit-e44315861.html
157,Arduino Cookbook - NFI: Industrial Automation Training Academy,724,"12,212",https://www.pdfdrive.com/arduino-cookbook-nfi-industrial-automation-training-academy-e25380227.html
158,The Day the World Went Nuclear: Dropping the Atom Bomb and the End of World War II in the Pacific,560,"2,618",https://www.pdfdrive.com/the-day-the-world-went-nuclear-dropping-the-atom-bomb-and-the-end-of-world-war-ii-in-the-pacific-e195141003.html
159,O'Reilly - Java Swing - 2nd,566,834,https://www.pdfdrive.com/oreilly-java-swing-2nd-e7615317.html
160,O'Reilly - Java Distributed Computing.pdf - DBLab,294,350,https://www.pdfdrive.com/oreilly-java-distributed-computingpdf-dblab-e15484002.html
161,O'Reilly MP3 The Definitive Guide.pdf,379,191,https://www.pdfdrive.com/oreilly-mp3-the-definitive-guidepdf-e44143510.html
162,Big Data Now: 2013 Edition - O'Reilly Media,199,191,https://www.pdfdrive.com/big-data-now-2013-edition-oreilly-media-e16702487.html
163,Asterisk™: The Future of Telephony - Cdn.oreilly.com - O'Reilly Media,604,214,https://www.pdfdrive.com/asterisk-the-future-of-telephony-cdnoreillycom-oreilly-media-e15052517.html
164,Head First. Паттерны проектирования. Обновленное юбилейное издание,324,"32,026",https://www.pdfdrive.com/head-first-Паттерны-проектирования-Обновленное-юбилейное-издание-e184666770.html
165,Killing the Rising Sun: How America Vanquished World War II Japan,154,"2,503",https://www.pdfdrive.com/killing-the-rising-sun-how-america-vanquished-world-war-ii-japan-e195135487.html
166,Perl 2: Intermediate Perl - O'Reilly Media,181,189,https://www.pdfdrive.com/perl-2-intermediate-perl-oreilly-media-e18666048.html
167,O'Reilly Factor,695,178,https://www.pdfdrive.com/oreilly-factor-e194101594.html
168,O'Reilly Head First EJB.pdf,434,244,https://www.pdfdrive.com/oreilly-head-first-ejbpdf-e32602990.html
169,"Illustrated Guide to Home Chemistry Experiments; All Lab, No Lecture - Maker Media-O'Reilly Media",599,174,https://www.pdfdrive.com/illustrated-guide-to-home-chemistry-experiments-all-lab-no-lecture-maker-media-oreilly-media-e183968429.html
170,Network Warrior.pdf,238,"2,460",https://www.pdfdrive.com/network-warriorpdf-e39674142.html
171,Killing History: Jesus In The No-Spin Zone,372,584,https://www.pdfdrive.com/killing-history-jesus-in-the-no-spin-zone-e196372394.html
172,Reactive Programming with RxJava,643,"2,454",https://www.pdfdrive.com/reactive-programming-with-rxjava-e40995508.html
173,html 5 canvas o'reilly book pdf - OMEGAMAX,662,337,https://www.pdfdrive.com/html-5-canvas-oreilly-book-pdf-omegamax-e755690.html
174,Java Enterprise in a Nutshell: A Desktop Quick Reference (In a Nutshell (O'Reilly)),256,162,https://www.pdfdrive.com/java-enterprise-in-a-nutshell-a-desktop-quick-reference-in-a-nutshell-oreilly-e159073790.html
175,Make an Arduino-Controlled Robot,361,"9,825",https://www.pdfdrive.com/make-an-arduino-controlled-robot-e34661892.html
176,Apprendre à programmer avec Python,Unknown,"9,775",https://www.pdfdrive.com/apprendre-à-programmer-avec-python-e39740728.html
177,CSS - O'Reilly - Cascading Style Sheets The Definitive Guide,564,160,https://www.pdfdrive.com/css-oreilly-cascading-style-sheets-the-definitive-guide-e136946832.html
178,"JavaScript The Definitive Guide, 6th.pdf","1,098","9,684",https://www.pdfdrive.com/javascript-the-definitive-guide-6thpdf-e7628373.html
179,Linux Kernel in a Nutshell (In a Nutshell (O'Reilly)),197,157,https://www.pdfdrive.com/linux-kernel-in-a-nutshell-in-a-nutshell-oreilly-e158998106.html
180,"Exploring Java, 2nd Edition (O'Reilly Java)","1,265",156,https://www.pdfdrive.com/exploring-java-2nd-edition-oreilly-java-e195346089.html
181,C++ Cookbook (Cookbooks (O'Reilly)),640,155,https://www.pdfdrive.com/c-cookbook-cookbooks-oreilly-e159023278.html
182,Linux System Programming,456,"9,498",https://www.pdfdrive.com/linux-system-programming-e18775361.html
183,Python Pocket Reference: Python in Your Pocket (Pocket Reference (O'Reilly)),210,151,https://www.pdfdrive.com/python-pocket-reference-python-in-your-pocket-pocket-reference-oreilly-e185000642.html
184,Introduction to Apache Hadoop - O'Reilly Media - Technology Books,133,168,https://www.pdfdrive.com/introduction-to-apache-hadoop-oreilly-media-technology-books-e666967.html
185,Beautiful Code: Leading Programmers Explain How They Think (Theory in Practice (O'Reilly)),619,148,https://www.pdfdrive.com/beautiful-code-leading-programmers-explain-how-they-think-theory-in-practice-oreilly-e184847909.html
186,Python for Unix and Linux System Administration by O'Reilly,458,152,https://www.pdfdrive.com/python-for-unix-and-linux-system-administration-by-oreilly-e38487028.html
187,O'Reilly Tomcat The Definitive Guide (2nd Editi..,496,147,https://www.pdfdrive.com/oreilly-tomcat-the-definitive-guide-2nd-editi-e42499745.html
188,Joel Grus - Data Science from Scratch First Principles with Python-O’Reilly Media (2019),514,147,https://www.pdfdrive.com/joel-grus-data-science-from-scratch-first-principles-with-python-oreilly-media-2019-e200817303.html
189,OReilly Doing Data Science,405,863,https://www.pdfdrive.com/oreilly-doing-data-science-e51061540.html
190,O'Reilly - Building Secure Servers with Linux.pdf,276,150,https://www.pdfdrive.com/oreilly-building-secure-servers-with-linuxpdf-e41399762.html
191,O'Reilly - Java™ Extreme Programming Cookbook - DBLab,273,215,https://www.pdfdrive.com/oreilly-java-extreme-programming-cookbook-dblab-e9946695.html
192,ActionScript for Flash MX Pocket Reference: Quick Reference for Flash MX Programmers (Pocket Reference (O'Reilly)),145,144,https://www.pdfdrive.com/actionscript-for-flash-mx-pocket-reference-quick-reference-for-flash-mx-programmers-pocket-reference-oreilly-e157363347.html
193,Big data now: Current perspectives from O'Reilly Radar,137,142,https://www.pdfdrive.com/big-data-now-current-perspectives-from-oreilly-radar-e164149035.html
194,Transitions and Animations in CSS,118,"2,270",https://www.pdfdrive.com/transitions-and-animations-in-css-e55977315.html
